feature,gain,split
feature_entry__騎手名,110514.48012161255,665
feature_entry__調教師,109770.49432373047,1133
当競馬場成績_other,91858.79962158203,75
feature_entry__母父馬名,77552.6708984375,1080
feature_entry__父馬名,67719.42446899414,936
騎手成績_first,14898.854904174805,30
全成績_other,10874.170848846436,58
騎手成績_other,8825.061042785645,36
当競馬場成績_first,8133.01887512207,13
騎手成績_second,6453.837512969971,31
feature_race__競走種類名称,5970.454473495483,51
feature_race__条件,5726.53825378418,29
feature_race__1着賞金(円),5392.845199584961,56
ダート右成績_other,5161.995010375977,28
うち当距離成績_first,4821.087966918945,11
当競馬場成績_second,4433.251710891724,23
うち当距離成績_other,4370.151298522949,16
当競馬場成績_total,4004.6226921081543,9
うち当距離成績_second,2027.4671821594238,17
feature_race__3着賞金(円),1995.39479637146,24
best_time_deciseconds,1708.7413806915283,11
feature_race__2着賞金(円),1368.5737953186035,13
feature_entry__性,1354.242519378662,19
当競馬場成績_third,1262.1489944458008,7
feature_entry__枠番,1219.540210723877,22
race_day_of_year,1194.5805015563965,18
騎手成績_total,910.4136047363281,5
feature_race__競馬場,529.4593048095703,7
騎手成績_third,526.6833114624023,5
burden_weight_deci_kg,481.9679985046387,6
feature_race__4着賞金(円),311.7963981628418,5
全成績_first,295.451602935791,4
全成績_second,242.9099006652832,5
feature_race__距離,233.50940322875977,4
ダート右成績_first,219.78690338134766,2
feature_race__5着賞金(円),201.55939865112305,4
age_days,192.93940353393555,3
全成績_third,115.77300262451172,1
全成績_total,109.70319747924805,2
feature_entry__馬番,85.13919830322266,2
race_month,75.02579879760742,2
best_time_good_deciseconds,61.50130081176758,1
ダート右成績_second,39.01150131225586,1
best_time_good_missing,0.0,0
best_time_missing,0.0,0
burden_weight_mark,0.0,0
feature_entry__毛色,0.0,0
feature_entry__調教師所属,0.0,0
feature_entry__騎手所属,0.0,0
feature_entry__齢,0.0,0
feature_race__回り,0.0,0
race_weekday_mon0,0.0,0
surface_type,0.0,0
うち当距離成績_missing,0.0,0
うち当距離成績_third,0.0,0
うち当距離成績_total,0.0,0
ダート右成績_missing,0.0,0
ダート右成績_third,0.0,0
ダート右成績_total,0.0,0
ダート左成績_first,0.0,0
ダート左成績_missing,0.0,0
ダート左成績_other,0.0,0
ダート左成績_second,0.0,0
ダート左成績_third,0.0,0
ダート左成績_total,0.0,0
全成績_missing,0.0,0
当競馬場成績_missing,0.0,0
騎手成績_missing,0.0,0
