feature,gain,split
当競馬場成績_other,105892.66052389145,614
騎手成績_first,30157.53372848034,464
全成績_other,24332.197630286217,998
騎手成績_other,20627.555691957474,663
当競馬場成績_first,19987.49705994129,337
ダート右成績_other,18681.343147993088,650
age_days,16486.13257277012,1525
feature_race__競馬場,16243.578659653664,825
feature_race__条件,15650.341894745827,722
race_day_of_year,12738.895651698112,1389
best_time_deciseconds,12460.288441061974,1054
feature_entry__騎手所属,11162.476705789566,696
当競馬場成績_second,10682.153762936592,314
騎手成績_second,10195.38042318821,345
うち当距離成績_first,8898.378627300262,285
feature_entry__調教師所属,8469.259142041206,569
feature_race__1着賞金(円),8316.212992548943,538
全成績_first,7842.426446080208,508
burden_weight_deci_kg,7817.388098239899,487
feature_race__3着賞金(円),7800.850888133049,419
全成績_total,7494.334134936333,797
うち当距離成績_other,7347.172358512878,390
当競馬場成績_total,7095.889193177223,582
best_time_good_deciseconds,6960.799928426743,763
feature_race__競走種類名称,6446.294564008713,213
feature_race__2着賞金(円),5908.590079188347,418
騎手成績_total,5804.534207224846,596
feature_entry__枠番,5429.382073879242,540
ダート右成績_total,4562.041281223297,535
ダート右成績_first,4264.523098826408,345
全成績_third,4191.291613817215,380
feature_race__距離,4117.405023217201,353
騎手成績_third,4100.26363492012,333
feature_entry__馬番,4042.9139927625656,467
feature_race__5着賞金(円),3766.8375465869904,362
当競馬場成績_third,3708.472579240799,279
ダート左成績_total,3647.587022423744,390
feature_race__4着賞金(円),3601.9418683052063,286
全成績_second,3474.415416955948,402
うち当距離成績_second,3360.834578037262,197
うち当距離成績_total,3272.044497489929,403
ダート左成績_other,3161.5017029047012,334
ダート右成績_second,2845.551399588585,280
feature_entry__性,2760.5619020462036,249
race_weekday_mon0,2426.9049243927,311
ダート右成績_third,2410.0924232006073,278
feature_entry__毛色,2247.939210653305,299
うち当距離成績_third,1770.621865272522,184
ダート左成績_first,1662.1201028823853,205
feature_entry__齢,1581.6957857608795,126
race_month,1407.2097616195679,125
ダート左成績_third,1201.2953588962555,144
burden_weight_mark,1184.5197448730469,106
ダート左成績_second,1101.8865597248077,142
surface_type,299.6234722137451,17
feature_race__回り,189.62334990501404,22
best_time_missing,21.194819688796997,3
best_time_good_missing,8.212360143661499,2
うち当距離成績_missing,0.0,0
ダート右成績_missing,0.0,0
ダート左成績_missing,0.0,0
全成績_missing,0.0,0
当競馬場成績_missing,0.0,0
騎手成績_missing,0.0,0
