競馬場,競走年月日,レース番号,枠番,帽色,馬番,馬名,性,齢,毛色,生年月日,父馬名,母馬名,母父馬名,騎手名,騎手所属,負担重量,騎手成績,調教師,調教師所属,馬主氏名,生産牧場名,馬体重,馬体重増減,全成績,ダート左成績,ダート右成績,当競馬場成績,うち当距離成績,最高タイム,最高タイム良馬場,着順,タイム,着差,上がり3F,人気
盛岡,20260825,1,1,白,1,リュッカクローナ,牡,7,鹿毛,20190315,シニスターミニスター,トウケイサクラ,シンボリクリスエス,鈴木祐,岩手,56,0-0-0-3,高橋純,岩手,岩渕道良,大道牧場,,,7-10-7-66,4-3-3-31,3-7-4-35,4-3-2-27,3-2-1-10,1:26.6,良1:26.6,,,,,1
盛岡,20260825,1,2,黒,2,サクラトップマンボ,牡,4,鹿毛,20220524,ミッキーロケット,サクラトップクイン,ジャングルポケット,坂井瑛,岩手,☆55,2-0-1-1,伊藤忍,岩手,（株）トップフェロウ,細川農場,,,3-0-3-6,2-0-2-4,1-0-1-2,2-0-2-4,0-0-1-3,1:28.1,良1:28.1,,,,,1
盛岡,20260825,1,3,赤,3,エムティヒビキ,セン,6,黒鹿毛,20200502,レガーロ,スパートル,ゼンノロブロイ,小林凌,岩手,56,1-1-3-16,佐藤敏,岩手,遠藤喜和,市川フアーム,,,5-5-12-98,2-5-3-35,3-0-9-63,2-5-3-31,0-3-2-19,1:27.9,良1:27.9,,,,,1
盛岡,20260825,1,4,青,4,サクラカゼ,牝,4,青鹿毛,20220305,シルバーステート,ターフジェニック,ホワイトマズル,菅原辰,岩手,54,0-0-0-1,千葉幸,岩手,川上武志,マリオステーブル,,,0-7-1-16,0-3-0-6,0-4-1-6,0-3-0-4,0-2-0-1,1:28.0,良1:28.0,,,,,1
盛岡,20260825,1,5,黄,5,グラスアラバニーユ,牡,7,芦毛,20190530,ヴァンセンヌ,ネオマックイーン,メジロマックイーン,山本政,岩手,56,0-0-0-0,西野直,岩手,（同）ランニング・クラウド,村上進治,,,5-4-4-40,5-4-4-40,0-0-0-0,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,1,6,緑,6,コウバイ,牝,4,栗毛,20220308,マツリダゴッホ,ハナガスミ,クロコルージュ,塚本涼,岩手,54,0-1-0-2,陶文峰,岩手,吉田啓,松浦牧場,,,1-7-2-34,1-4-2-16,0-3-0-18,1-4-2-14,0-0-0-1,1:30.9,,,,,,1
盛岡,20260825,1,7,橙,7,スターアドミラル,牡,5,芦毛,20210313,レッドファルクス,アモールミーオ,ダイワメジャー,山本聡,岩手,56,0-0-0-0,菅原勲,岩手,兼松康太,風ノ丘ファーム,,,1-2-7-21,1-2-5-16,0-0-0-1,0-0-0-0,0-0-0-0,,,,,,,1
盛岡,20260825,1,8,桃,8,パルピタシオン,牝,4,栗毛,20220418,モズアスコット,クラウンイヴ,ブラックタイド,山本紀,岩手,54,2-2-0-0,板垣吉,岩手,サンエツ企画（有）,クラウン日高牧場,,,2-2-0-13,0-2-0-0,2-0-0-4,0-2-0-0,0-1-0-0,1:28.2,良1:28.2,,,,,1
盛岡,20260825,1,8,桃,9,ポンテドラーゴ,牡,7,黒鹿毛,20190315,アイルハヴアナザー,テイエムプリンセス,ネオユニヴァース,大坪慎,岩手,56,0-0-1-5,佐藤敏,岩手,小橋亮太,松浦牧場,,,4-8-8-46,1-1-4-20,3-7-4-26,0-0-1-4,0-0-1-2,1:27.6,良1:27.6,,,,,1
盛岡,20260825,2,1,白,1,フォルトリアン,牝,5,栗毛,20210321,ベストウォーリア,サンジョ,ファスリエフ,菅原辰,岩手,54,0-1-0-4,千葉幸,岩手,馬目勇,津田牧場,,,5-7-4-28,0-0-1-13,5-7-3-15,0-0-0-8,0-0-0-4,1:27.3,良1:27.3,,,,,1
