競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
盛岡,20260825,1,1145,普通,Ｃ２三組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,9,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,３コーナー,４コーナー,,,,,,,"1,6,8,7,5,2-4,3-9","(1,8),(2,6),(5,7)-4-(3,9)",,,,,,
盛岡,20260825,2,1220,普通,Ｃ２二組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,3,1255,普通,Ｃ２一組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　一般,430000,151000,86000,56000,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,4,1330,普通,３歳Ｃ１三組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　３歳,600000,210000,120000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,5,1405,普通,３歳Ｃ１二組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　３歳,600000,210000,120000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,6,1440,普通,３歳Ｃ１一組,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,10,サラブレッド系　３歳,600000,210000,120000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,7,1515,普通,２歳,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,10,サラブレッド系　２歳,650000,228000,130000,85000,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,8,1550,普通,Ｂ２,,,,,,,,,,,,,,,,ダート,左,1400,晴,良,12,サラブレッド系　一般,600000,210000,120000,78000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,9,1625,特別,エメラルド賞３歳,開催執務委員長賞,,,,,,,,,,,,,,,芝,左,1700,晴,良,12,"サラブレッド系　３歳 定量",1200000,420000,240000,156000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,10,1700,普通,Ｂ１三組,,,,,,,,,,,,,,,,ダート,左,1600,晴,良,9,サラブレッド系　一般,800000,280000,160000,104000,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛岡,20260825,11,1735,普通,Ｂ１,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,800000,280000,160000,104000,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
