anomaly_type,競馬場,競走年月日,レース番号,detail
SOURCE_NO_RESULT,三条,19991222,1,
SOURCE_NO_RESULT,三条,19991222,2,
SOURCE_NO_RESULT,三条,19991222,3,
SOURCE_NO_RESULT,三条,19991222,4,
SOURCE_NO_RESULT,三条,19991222,5,
SOURCE_NO_RESULT,三条,19991222,6,
SOURCE_NO_RESULT,三条,19991222,7,
SOURCE_NO_RESULT,三条,19991222,8,
SOURCE_NO_RESULT,三条,19991222,9,
SOURCE_NO_RESULT,三条,19991223,1,
SOURCE_NO_RESULT,三条,19991223,10,
SOURCE_NO_RESULT,三条,19991223,2,
SOURCE_NO_RESULT,三条,19991223,3,
SOURCE_NO_RESULT,三条,19991223,4,
SOURCE_NO_RESULT,三条,19991223,5,
SOURCE_NO_RESULT,三条,19991223,6,
SOURCE_NO_RESULT,三条,19991223,7,
SOURCE_NO_RESULT,三条,19991223,8,
SOURCE_NO_RESULT,三条,19991223,9,
SOURCE_NO_RESULT,中京,20020103,1,
SOURCE_NO_RESULT,中京,20020103,10,
SOURCE_NO_RESULT,中京,20020103,11,
SOURCE_NO_RESULT,中京,20020103,2,
SOURCE_NO_RESULT,中京,20020103,3,
SOURCE_NO_RESULT,中京,20020103,4,
SOURCE_NO_RESULT,中京,20020103,5,
SOURCE_NO_RESULT,中京,20020103,6,
SOURCE_NO_RESULT,中京,20020103,7,
SOURCE_NO_RESULT,中京,20020103,8,
SOURCE_NO_RESULT,中京,20020103,9,
SOURCE_NO_RESULT,名古屋,19980922,10,
SOURCE_NO_RESULT,名古屋,19980922,11,
SOURCE_NO_RESULT,名古屋,19980922,9,
SOURCE_NO_RESULT,名古屋,20010821,1,
SOURCE_NO_RESULT,名古屋,20010821,10,
SOURCE_NO_RESULT,名古屋,20010821,2,
SOURCE_NO_RESULT,名古屋,20010821,3,
SOURCE_NO_RESULT,名古屋,20010821,4,
SOURCE_NO_RESULT,名古屋,20010821,5,
SOURCE_NO_RESULT,名古屋,20010821,6,
SOURCE_NO_RESULT,名古屋,20010821,7,
SOURCE_NO_RESULT,名古屋,20010821,8,
SOURCE_NO_RESULT,名古屋,20010821,9,
SOURCE_NO_RESULT,大井,20041210,1,
SOURCE_NO_RESULT,大井,20041210,10,
SOURCE_NO_RESULT,大井,20041210,11,
SOURCE_NO_RESULT,大井,20041210,2,
SOURCE_NO_RESULT,大井,20041210,3,
SOURCE_NO_RESULT,大井,20041210,4,
SOURCE_NO_RESULT,大井,20041210,5,
SOURCE_NO_RESULT,大井,20041210,6,
SOURCE_NO_RESULT,大井,20041210,7,
SOURCE_NO_RESULT,大井,20041210,8,
SOURCE_NO_RESULT,大井,20041210,9,
SOURCE_NO_RESULT,川崎,19980108,10,
SOURCE_NO_RESULT,川崎,19980108,11,
SOURCE_NO_RESULT,川崎,19980108,8,
SOURCE_NO_RESULT,川崎,19980108,9,
SOURCE_NO_RESULT,川崎,19980109,1,
SOURCE_NO_RESULT,川崎,19980109,10,
SOURCE_NO_RESULT,川崎,19980109,11,
SOURCE_NO_RESULT,川崎,19980109,2,
SOURCE_NO_RESULT,川崎,19980109,3,
SOURCE_NO_RESULT,川崎,19980109,4,
SOURCE_NO_RESULT,川崎,19980109,5,
SOURCE_NO_RESULT,川崎,19980109,6,
SOURCE_NO_RESULT,川崎,19980109,7,
SOURCE_NO_RESULT,川崎,19980109,8,
SOURCE_NO_RESULT,川崎,19980109,9,
SOURCE_NO_RESULT,川崎,20010127,1,
SOURCE_NO_RESULT,川崎,20010127,10,
SOURCE_NO_RESULT,川崎,20010127,11,
SOURCE_NO_RESULT,川崎,20010127,2,
SOURCE_NO_RESULT,川崎,20010127,3,
SOURCE_NO_RESULT,川崎,20010127,4,
SOURCE_NO_RESULT,川崎,20010127,5,
SOURCE_NO_RESULT,川崎,20010127,6,
SOURCE_NO_RESULT,川崎,20010127,7,
SOURCE_NO_RESULT,川崎,20010127,8,
SOURCE_NO_RESULT,川崎,20010127,9,
SOURCE_NO_RESULT,川崎,20020710,1,
SOURCE_NO_RESULT,川崎,20020710,10,
SOURCE_NO_RESULT,川崎,20020710,11,
SOURCE_NO_RESULT,川崎,20020710,2,
SOURCE_NO_RESULT,川崎,20020710,3,
SOURCE_NO_RESULT,川崎,20020710,4,
SOURCE_NO_RESULT,川崎,20020710,5,
SOURCE_NO_RESULT,川崎,20020710,6,
SOURCE_NO_RESULT,川崎,20020710,7,
SOURCE_NO_RESULT,川崎,20020710,8,
SOURCE_NO_RESULT,川崎,20020710,9,
SOURCE_NO_RESULT,新潟,20020104,10,
SOURCE_NO_RESULT,新潟,20020104,11,
SOURCE_NO_RESULT,新潟,20020104,3,
SOURCE_NO_RESULT,新潟,20020104,4,
SOURCE_NO_RESULT,新潟,20020104,5,
SOURCE_NO_RESULT,新潟,20020104,6,
SOURCE_NO_RESULT,新潟,20020104,7,
SOURCE_NO_RESULT,新潟,20020104,8,
SOURCE_NO_RESULT,新潟,20020104,9,
SOURCE_NO_RESULT,旭川,20030717,10,
SOURCE_NO_RESULT,旭川,20030717,11,
SOURCE_NO_RESULT,旭川,20030717,12,
SOURCE_NO_RESULT,浦和,19980115,1,
SOURCE_NO_RESULT,浦和,19980115,10,
SOURCE_NO_RESULT,浦和,19980115,11,
SOURCE_NO_RESULT,浦和,19980115,12,
SOURCE_NO_RESULT,浦和,19980115,2,
SOURCE_NO_RESULT,浦和,19980115,3,
SOURCE_NO_RESULT,浦和,19980115,4,
SOURCE_NO_RESULT,浦和,19980115,5,
SOURCE_NO_RESULT,浦和,19980115,6,
SOURCE_NO_RESULT,浦和,19980115,7,
SOURCE_NO_RESULT,浦和,19980115,8,
SOURCE_NO_RESULT,浦和,19980115,9,
SOURCE_NO_RESULT,浦和,19980116,10,
SOURCE_NO_RESULT,浦和,19980116,6,
SOURCE_NO_RESULT,浦和,19980116,7,
SOURCE_NO_RESULT,浦和,19980116,8,
SOURCE_NO_RESULT,浦和,19980116,9,
SOURCE_NO_RESULT,盛岡,19981123,10,
SOURCE_NO_RESULT,盛岡,19981123,11,
SOURCE_NO_RESULT,盛岡,19981123,6,
SOURCE_NO_RESULT,盛岡,19981123,7,
SOURCE_NO_RESULT,盛岡,19981123,8,
SOURCE_NO_RESULT,盛岡,19981123,9,
SOURCE_NO_RESULT,船橋,20010822,1,
SOURCE_NO_RESULT,船橋,20010822,10,
SOURCE_NO_RESULT,船橋,20010822,11,
SOURCE_NO_RESULT,船橋,20010822,12,
SOURCE_NO_RESULT,船橋,20010822,2,
SOURCE_NO_RESULT,船橋,20010822,3,
SOURCE_NO_RESULT,船橋,20010822,4,
SOURCE_NO_RESULT,船橋,20010822,5,
SOURCE_NO_RESULT,船橋,20010822,6,
SOURCE_NO_RESULT,船橋,20010822,7,
SOURCE_NO_RESULT,船橋,20010822,8,
SOURCE_NO_RESULT,船橋,20010822,9,
SOURCE_NO_RESULT,船橋,20020716,1,
SOURCE_NO_RESULT,船橋,20020716,10,
SOURCE_NO_RESULT,船橋,20020716,11,
SOURCE_NO_RESULT,船橋,20020716,12,
SOURCE_NO_RESULT,船橋,20020716,2,
SOURCE_NO_RESULT,船橋,20020716,3,
SOURCE_NO_RESULT,船橋,20020716,4,
SOURCE_NO_RESULT,船橋,20020716,5,
SOURCE_NO_RESULT,船橋,20020716,6,
SOURCE_NO_RESULT,船橋,20020716,7,
SOURCE_NO_RESULT,船橋,20020716,8,
SOURCE_NO_RESULT,船橋,20020716,9,
SOURCE_NO_RESULT,金沢,19990711,1,
SOURCE_NO_RESULT,金沢,19991221,10,
SOURCE_NO_RESULT,金沢,19991221,9,
SOURCE_NO_RESULT,金沢,20020108,1,
SOURCE_NO_RESULT,金沢,20020108,10,
SOURCE_NO_RESULT,金沢,20020108,2,
SOURCE_NO_RESULT,金沢,20020108,3,
SOURCE_NO_RESULT,金沢,20020108,4,
SOURCE_NO_RESULT,金沢,20020108,5,
SOURCE_NO_RESULT,金沢,20020108,6,
SOURCE_NO_RESULT,金沢,20020108,7,
SOURCE_NO_RESULT,金沢,20020108,8,
SOURCE_NO_RESULT,金沢,20020108,9,
SOURCE_NO_RESULT,金沢,20070624,1,
SOURCE_NO_RESULT,門別,19981112,1,
SOURCE_NO_RESULT,門別,19981112,2,
SOURCE_NO_RESULT,門別,19981117,2,
SOURCE_NO_RESULT,門別,19981117,3,
SOURCE_NO_RESULT,門別,19981117,4,
SOURCE_NO_RESULT,門別,19981117,5,
SOURCE_NO_RESULT,門別,19981117,6,
SOURCE_NO_RESULT,門別,19981117,7,
SOURCE_NO_RESULT,門別,19981117,8,
SOURCE_NO_RESULT,門別,19981117,9,
SOURCE_NO_RESULT,門別,19981119,1,
SOURCE_NO_RESULT,門別,19981119,2,
SOURCE_NO_RESULT,門別,19981119,3,
SOURCE_NO_RESULT,門別,19981119,4,
SOURCE_NO_RESULT,門別,19981119,5,
SOURCE_NO_RESULT,門別,19981119,6,
SOURCE_NO_RESULT,門別,19981119,7,
SOURCE_NO_RESULT,門別,19981119,8,
SOURCE_NO_RESULT,門別,19981119,9,
SOURCE_NO_RESULT,門別,19990505,1,
SOURCE_NO_RESULT,門別,19990505,2,
SOURCE_NO_RESULT,門別,19990505,3,
SOURCE_NO_RESULT,門別,19990505,4,
SOURCE_NO_RESULT,門別,19990505,5,
SOURCE_NO_RESULT,門別,19990505,6,
SOURCE_NO_RESULT,門別,19990505,7,
SOURCE_NO_RESULT,門別,19990505,8,
SOURCE_NO_RESULT,門別,19990505,9,
SOURCE_NO_RESULT,門別,19991130,1,
SOURCE_NO_RESULT,門別,19991130,2,
SOURCE_NO_RESULT,門別,19991130,3,
SOURCE_NO_RESULT,門別,19991130,4,
SOURCE_NO_RESULT,門別,19991130,5,
SOURCE_NO_RESULT,門別,19991130,6,
SOURCE_NO_RESULT,門別,19991130,7,
SOURCE_NO_RESULT,門別,19991130,8,
SOURCE_NO_RESULT,門別,19991207,1,
SOURCE_NO_RESULT,門別,19991207,2,
SOURCE_NO_RESULT,門別,19991207,3,
SOURCE_NO_RESULT,門別,19991207,4,
SOURCE_NO_RESULT,門別,19991207,5,
SOURCE_NO_RESULT,門別,19991207,6,
SOURCE_NO_RESULT,門別,19991207,7,
SOURCE_NO_RESULT,門別,19991207,8,
SOURCE_NO_RESULT,門別,19991208,1,
SOURCE_NO_RESULT,門別,19991208,10,
SOURCE_NO_RESULT,門別,19991208,2,
SOURCE_NO_RESULT,門別,19991208,3,
SOURCE_NO_RESULT,門別,19991208,4,
SOURCE_NO_RESULT,門別,19991208,5,
SOURCE_NO_RESULT,門別,19991208,6,
SOURCE_NO_RESULT,門別,19991208,7,
SOURCE_NO_RESULT,門別,19991208,8,
SOURCE_NO_RESULT,門別,19991208,9,
SOURCE_RACELIST_MISSING,園田,20180905,1,
SOURCE_RACELIST_MISSING,園田,20180905,10,
SOURCE_RACELIST_MISSING,園田,20180905,2,
SOURCE_RACELIST_MISSING,園田,20180905,3,
SOURCE_RACELIST_MISSING,園田,20180905,4,
SOURCE_RACELIST_MISSING,園田,20180905,5,
SOURCE_RACELIST_MISSING,園田,20180905,6,
SOURCE_RACELIST_MISSING,園田,20180905,7,
SOURCE_RACELIST_MISSING,園田,20180905,8,
SOURCE_RACELIST_MISSING,園田,20180905,9,
SOURCE_RACELIST_MISSING,園田,20180907,1,
SOURCE_RACELIST_MISSING,園田,20180907,10,
SOURCE_RACELIST_MISSING,園田,20180907,11,
SOURCE_RACELIST_MISSING,園田,20180907,12,
SOURCE_RACELIST_MISSING,園田,20180907,2,
SOURCE_RACELIST_MISSING,園田,20180907,3,
SOURCE_RACELIST_MISSING,園田,20180907,4,
SOURCE_RACELIST_MISSING,園田,20180907,5,
SOURCE_RACELIST_MISSING,園田,20180907,6,
SOURCE_RACELIST_MISSING,園田,20180907,7,
SOURCE_RACELIST_MISSING,園田,20180907,8,
SOURCE_RACELIST_MISSING,園田,20180907,9,
SOURCE_RACELIST_MISSING,帯広ば,20090613,5,
SOURCE_RACELIST_MISSING,帯広ば,20090613,8,
SOURCE_RACELIST_MISSING,笠松,20190618,1,
SOURCE_RACELIST_MISSING,笠松,20190618,10,
SOURCE_RACELIST_MISSING,笠松,20190618,2,
SOURCE_RACELIST_MISSING,笠松,20190618,3,
SOURCE_RACELIST_MISSING,笠松,20190618,4,
SOURCE_RACELIST_MISSING,笠松,20190618,5,
SOURCE_RACELIST_MISSING,笠松,20190618,6,
SOURCE_RACELIST_MISSING,笠松,20190618,7,
SOURCE_RACELIST_MISSING,笠松,20190618,8,
SOURCE_RACELIST_MISSING,笠松,20190618,9,
SOURCE_RACELIST_MISSING,笠松,20190619,1,
SOURCE_RACELIST_MISSING,笠松,20190619,10,
SOURCE_RACELIST_MISSING,笠松,20190619,2,
SOURCE_RACELIST_MISSING,笠松,20190619,3,
SOURCE_RACELIST_MISSING,笠松,20190619,4,
SOURCE_RACELIST_MISSING,笠松,20190619,5,
SOURCE_RACELIST_MISSING,笠松,20190619,6,
SOURCE_RACELIST_MISSING,笠松,20190619,7,
SOURCE_RACELIST_MISSING,笠松,20190619,8,
SOURCE_RACELIST_MISSING,笠松,20190619,9,
SOURCE_RACELIST_MISSING,笠松,20190620,1,
SOURCE_RACELIST_MISSING,笠松,20190620,10,
SOURCE_RACELIST_MISSING,笠松,20190620,11,
SOURCE_RACELIST_MISSING,笠松,20190620,2,
SOURCE_RACELIST_MISSING,笠松,20190620,3,
SOURCE_RACELIST_MISSING,笠松,20190620,4,
SOURCE_RACELIST_MISSING,笠松,20190620,5,
SOURCE_RACELIST_MISSING,笠松,20190620,6,
SOURCE_RACELIST_MISSING,笠松,20190620,7,
SOURCE_RACELIST_MISSING,笠松,20190620,8,
