ym,split,rows,bytes,sha256,file
202101,train,11091,662561,990981774a7e6dadf7e1845d6e17e78d5fc5fd4a52516e371f214634d778d063,monthly/2021/202101_entries.csv.gz
202102,train,9114,551992,7cd24a120e986bf492bd23196a29a94c631c79f1a2485f80ef40c091666e266c,monthly/2021/202102_entries.csv.gz
202103,train,11751,715710,5fd726539a8e748748eb6b3d638b7d3d4de4a938f860b5621669ef98c8fbcc3b,monthly/2021/202103_entries.csv.gz
202104,train,10839,668653,6a83d80a9779cda8c85deac49f02a40b318b9d74ee1fb8d315a2893133bbfbbe,monthly/2021/202104_entries.csv.gz
202105,train,12991,786940,8f2e86741b1681a622df4259f2bd779d539f41fc4f3a9db82945b525581d8aa6,monthly/2021/202105_entries.csv.gz
202106,train,12671,764797,e09b9036c8a3236d8f27fffdf8fa5bbfc71d48757f12d9430eff0dbf02d2bf84,monthly/2021/202106_entries.csv.gz
202107,train,12960,776963,91de2fdfec8497c9d401a8fa123e2dd59ab71c1764e2ce2f2f19368e81313195,monthly/2021/202107_entries.csv.gz
202108,train,12644,757372,3665f7b24f7e1d190824671bf1a4a8e300622bee0149f29df4b708f5d2f6ae31,monthly/2021/202108_entries.csv.gz
202109,train,13888,834132,0a638b59076708b47f31b6d1431455339bac0027633afc5a744ce20df802ac19,monthly/2021/202109_entries.csv.gz
202110,train,14190,849083,cbc481cc00c25b7e9d7a9bcc8ef90a875d8f8232ccbadb16a80e01854f06854a,monthly/2021/202110_entries.csv.gz
202111,train,13229,795834,19d4481287d9ef472f05fcf6cd2d8d2d6c02d685a604908a50df704c6e90b6df,monthly/2021/202111_entries.csv.gz
202112,train,12448,747730,c6f560dcb8dc19126a32dd5c875c0244f1e3e81e29d89af1ac48ec0f84f2d77b,monthly/2021/202112_entries.csv.gz
202201,train,10627,633910,e97b90ed36a2af84a52e1de5026b1338c6831243ba01186b66672fb45226274c,monthly/2022/202201_entries.csv.gz
202202,train,9425,569914,8d912a9f64138df0e094f8d6662d4855b16d3beb0cdf956d3ff7a94caf7927f6,monthly/2022/202202_entries.csv.gz
202203,train,12075,740782,4ea63b4b3862d88d48a518ffe4e392485aa982cd5acd741b6f121306fef63a87,monthly/2022/202203_entries.csv.gz
202204,train,11433,700467,1fe34fe1ee6491ad03c5a88c7493095bd17aa9ae0722b3d82938c3633f2149fa,monthly/2022/202204_entries.csv.gz
202205,train,13910,842236,eee497ec804ce7f7802ecd9ddd2d4eb319b56f1104b9dbcbd43cf4a120a9a8f6,monthly/2022/202205_entries.csv.gz
202206,train,13210,797375,e33824101539fd09c58eb0fc336e0485e05440abfa5298210d992e8529129c22,monthly/2022/202206_entries.csv.gz
202207,train,13892,833309,cb9d7dc82603491a63b42b83b1488ba29cc68139c071ebbd4495e3f5748a291b,monthly/2022/202207_entries.csv.gz
202208,train,13158,789903,a6a1ddcaf678793595a3ea1b26c1c7a9e5ab0824d5f2eb57b91159adcb8365b3,monthly/2022/202208_entries.csv.gz
202209,train,13685,824557,ebe9cb1ecd313f85a8b82700140424656fb43bb7c49a966f556548755d70ceee,monthly/2022/202209_entries.csv.gz
202210,train,14070,840233,eaee309465f9feedf2d029b67ba24a3a4c6006a60fc13b1b072f0d76ed232d9f,monthly/2022/202210_entries.csv.gz
202211,train,13101,789976,955f6082d5a079b7a84a43a2a8caaab18252a4001de6384764645601f285c99e,monthly/2022/202211_entries.csv.gz
202212,train,12820,770011,ef531e04d7e54232fe78e3b9ec206a70688ab0a3cb7bab347c892d7f228a875c,monthly/2022/202212_entries.csv.gz
202301,train,11114,664155,03ae669ff04ecb9fa4aa41e5984c0d272daa54fc5cda5a631a28c74f89605222,monthly/2023/202301_entries.csv.gz
202302,train,9875,596100,1dcfe78a0406c15a6b33958e6ab0a15a8cdfbcd67801e7cd2a8634a38f98b30f,monthly/2023/202302_entries.csv.gz
202303,train,12571,770528,9198dcac7830dfb551d9e725d7cc7c3351276943764fe9839fc5a6e2159c030a,monthly/2023/202303_entries.csv.gz
202304,train,11765,726400,f4b938baafa02091b76fa0b0f4753a812895ee99c4757e7f87a399caf2f2491d,monthly/2023/202304_entries.csv.gz
202305,train,14100,855197,698a846825c4e8aa9c2d7e1d5433f9d2f9130692a934d8debfff2d87986b2225,monthly/2023/202305_entries.csv.gz
202306,train,13474,811986,9995060a038855038c3a330b9a735fbb96c1116c6a0e29ac09ce24f60d38f722,monthly/2023/202306_entries.csv.gz
202307,train,13854,827542,22976abf1eab5878f23e6f153662380506fb0f93cbf2a4a93683952de3385134,monthly/2023/202307_entries.csv.gz
202308,train,13573,814690,e3455345fdea5841e511e4bf995879400814402eecfca4098063232e4afab930,monthly/2023/202308_entries.csv.gz
202309,train,12929,773760,1e31ce51c276e292ef6848d5c49e1d11715ccbf42ff7cba954e537884ccb5d40,monthly/2023/202309_entries.csv.gz
202310,train,14654,871359,f19388df7e80d47cb4b9a01734f4a58d6aa9feb3e4e53f3cd494cb82741f53ce,monthly/2023/202310_entries.csv.gz
202311,train,13439,810311,6d357b0da5813e5f0065684e9b60ed5ead65b40500bb1b2b17912a3db7f84ad8,monthly/2023/202311_entries.csv.gz
202312,train,13532,811613,969dd6679c1924d160e6d2bd4c2789366bb05affbe78db7ddea53b7a4af27c9c,monthly/2023/202312_entries.csv.gz
202401,validation,11344,679079,cdac51238b52e61d64bb71407eb9848d44a86308773c9d4c92877aec4412770b,monthly/2024/202401_entries.csv.gz
202402,validation,10456,633593,9e579fdf20b6d3698533043a3c0e7aff5386777744a862d6149398e8a738fd9c,monthly/2024/202402_entries.csv.gz
202403,validation,11725,716000,73f32fc5945b4e169fa2ddbb9d0d080defc3a0808e8afa2c470fc660cfe3cd03,monthly/2024/202403_entries.csv.gz
202404,validation,12868,789127,4677e7c66df85ed6b50dbe5cf38e9c0a2b2a7bb8a576f440cb36bcb3e5e1b3dd,monthly/2024/202404_entries.csv.gz
202405,validation,13953,847728,cf951e3cd5c2a56c429924f5734ac0cf246be55b1e0608c2f6948546c5a88174,monthly/2024/202405_entries.csv.gz
202406,validation,13945,840073,5e4d0ca7dbfe0cf34e30536cee49a2b29ab57f52d5130e1b752120a574191e90,monthly/2024/202406_entries.csv.gz
202407,validation,14525,873458,8b33c876db52e04480cd5062c9f69380805431c3f8206b941ecb453215b15a19,monthly/2024/202407_entries.csv.gz
202408,validation,12334,741398,ba5bcabfaf1d3de17d422549174c6d04a9f43cceea40268f85d33c416f110b4e,monthly/2024/202408_entries.csv.gz
202409,validation,13688,820071,a7be2d006d805e1d9cfdea4336203f86cf2c6bfc520dd358f7adf99fc1bc4e61,monthly/2024/202409_entries.csv.gz
202410,validation,14709,883945,58ea01c6ac682aa75b5640f3eeb5ad866bcb946664d2860cfa9b3656768b162e,monthly/2024/202410_entries.csv.gz
202411,validation,13363,803834,4290bf531868bddde38501fcc33a4608bab47fd8373c1ee957d7397248a04d9a,monthly/2024/202411_entries.csv.gz
202412,validation,14210,856067,788c06c165ea01756a480ccdd8247d694839ac0b977be03c33cb65b0f8b8dc15,monthly/2024/202412_entries.csv.gz
202501,test,11974,717187,8a6908c6f1020966b19708a09eaa535f46d2e3b1301385d24a6f7df9ede9cf30,monthly/2025/202501_entries.csv.gz
202502,test,10067,608530,53125f521e664f79a4df9ea716671f7c2f55886d7fb19350564a89e81b9e77bf,monthly/2025/202502_entries.csv.gz
202503,test,12162,742719,2cb267222b03dd118f480cb04546f01bcb8a110fee71c1e39d852c0bf89b3806,monthly/2025/202503_entries.csv.gz
202504,test,12066,742662,6766f3df8156448431c4e059d8c9e5c0575f4f773c3fd2bac0df48ce2e15cd8c,monthly/2025/202504_entries.csv.gz
