ym,split,rows,columns,bytes,sha256,file
202101,train,11091,81,469830,2fd4b7b3f5dd1cd60ed87f992650bf6be6051d0e54b2aaf2ab1d60a7ad77003e,monthly/2021/202101_model.csv.gz
202102,train,9114,81,390460,8a97993436be510e84ea5fafc95a32484ec76f0871d952c04e12ea185fd60c19,monthly/2021/202102_model.csv.gz
202103,train,11751,81,510815,63cd25d2ccd17ccd88884df3c0e7ddb95cfdc2e19a288928fe2bba8244cb0ff7,monthly/2021/202103_model.csv.gz
202104,train,10839,81,477081,58bb7a312304c2337fe73520b71d1bec7cfd2bcb341fe94bcefebd69d229de9b,monthly/2021/202104_model.csv.gz
202105,train,12991,81,562844,077c5579e566f45929d2274c638d3d1a91db141efdaabf3cdb37dfcb756707e5,monthly/2021/202105_model.csv.gz
202106,train,12671,81,544060,35e4062a34bcc0fc57eb32bb1be9a2753fd81e9e6b4caaf797dbc44f1550e88d,monthly/2021/202106_model.csv.gz
202107,train,12960,81,549991,d6e2ed0c1f526d707dcb43f82f766ba654ba397750d14d6cb6fe59fd1fd862e6,monthly/2021/202107_model.csv.gz
202108,train,12644,81,534355,e083a2f9e1960c126603f27dcc52797a25f14ae4b22cad094be3263c9b9a7a5a,monthly/2021/202108_model.csv.gz
202109,train,13888,81,587925,8601613f2dfb43df705763bdfb9094f446e328ac5d30413643bd77d6cce6a1c0,monthly/2021/202109_model.csv.gz
202110,train,14190,81,599830,b186f70f6772a3b5f42acf0ce8571a85f4a20c610b047154c482c674fdb00959,monthly/2021/202110_model.csv.gz
202111,train,13229,81,564742,ffdef71ce6658feecf9e9e6c50ed1a09c70321e8dac0bfef0d7453b1d9ffba92,monthly/2021/202111_model.csv.gz
202112,train,12448,81,532049,e1c257216cde56a1b40ec20efc140220f0a6cd43ef5d56fc83d8fbc2d35c7348,monthly/2021/202112_model.csv.gz
202201,train,10627,81,447555,45889e5c2cda9015d62c3d4bcc464a0b6d0062ae3c249a199d0da9e5f196970f,monthly/2022/202201_model.csv.gz
202202,train,9425,81,404127,e8c4ac3d53a2f2a4d6b6bd85acbb5168e37ee0db48752542b949b57d7890060f,monthly/2022/202202_model.csv.gz
202203,train,12075,81,530022,1c7c25b9176f43ee0cf04cf2fe9ab26e9ccad1c7eb4c8dd1ef0c1f8923dd85a1,monthly/2022/202203_model.csv.gz
202204,train,11433,81,499842,7259ebf2ea4f1b3b61e9bc23557a5a3d5bf20b7ff20f9aebfbeca99f1bd3feef,monthly/2022/202204_model.csv.gz
202205,train,13910,81,599377,9e0d2f6b83d1efd4b1938ced66aad43bc927d827f6fae654cefeb85e5ade8807,monthly/2022/202205_model.csv.gz
202206,train,13210,81,564411,50f46417282d937b813eed9228d56cd31f5e3e18a125413f1d88b7d0b05fc83a,monthly/2022/202206_model.csv.gz
202207,train,13892,81,589677,dbd2d0f3ca000525adaa1f603ed5347682cb0e94d2fa23ffb9bfb3f201e8d705,monthly/2022/202207_model.csv.gz
202208,train,13158,81,559277,f0427b2e7c756f79d0a58a99984149417393f40c1b2c2a45c47fb3eb9855d8ef,monthly/2022/202208_model.csv.gz
202209,train,13685,81,583634,d22bde229e012ca1c7260299a270ded3d2cb0688708baf939fdc47c13be5b79d,monthly/2022/202209_model.csv.gz
